UNITID,XBAREVCT,BAREVCT,XBAEXCLU,BAEXCLU,XBAAC150,BAAC150,XBANC100,BANC100,XBAGR100,BAGR100,XBANC150,BANC150,XBAGR150,BAGR150,XBAAEXCL,BAAEXCL,XBAAC200,BAAC200,XBANC20A,BANC200A,XBASTEND,BASTEND,XBANC200,BANC200,XBAGR200,BAGR200,XL4REVCT,L4REVCT,XL4EXCLU,L4EXCLU,XL4AC150,L4AC150,XL4NC100,L4NC100,XL4GR100,L4GR100,XL4NC150,L4NC150,XL4GR150,L4GR150,XL4AEXCL,L4AEXCL,XL4AC200,L4AC200,XL4NC20A,L4NC200A,XL4STEND,L4STEND,XL4NC200,L4NC200,XL4GR200,L4GR200 
111434,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",298,"R",0,"R",298,"R",11,"R",4,"R",35,"R",12,"R",0,"R",298,"R",15,"R",45,"R",50,"R",17
111461,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",1204,"R",0,"R",1204,"R",103,"R",9,"R",328,"R",27,"R",0,"R",1204,"R",108,"R",225,"R",436,"R",36
111513,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",66,"R",0,"R",66,"R",40,"R",61,"R",47,"R",71,"R",0,"R",66,"R",3,"R",0,"R",50,"R",76
111638,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",147,"R",0,"R",147,"R",63,"R",43,"R",103,"R",70,"R",0,"R",147,"R",5,"R",0,"R",108,"R",73
111708,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",151,"R",0,"R",151,"R",32,"R",21,"R",109,"R",72,"R",0,"R",151,"R",0,"R",0,"R",109,"R",72
111717,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",548,"R",0,"R",548,"R",132,"R",24,"R",436,"R",80,"R",0,"R",548,"R",0,"R",0,"R",436,"R",80
111726,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",308,"R",0,"R",308,"R",185,"R",60,"R",275,"R",89,"R",0,"R",308,"R",0,"R",0,"R",275,"R",89
111744,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",180,"R",0,"R",180,"R",45,"R",25,"R",146,"R",81,"R",0,"R",180,"R",0,"R",0,"R",146,"R",81
111762,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",146,"R",0,"R",146,"R",42,"R",29,"R",123,"R",84,"R",0,"R",146,"R",0,"R",0,"R",123,"R",84
111771,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",222,"R",0,"R",222,"R",58,"R",26,"R",179,"R",81,"R",0,"R",222,"R",0,"R",0,"R",179,"R",81
111799,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",95,"R",0,"R",95,"R",32,"R",34,"R",76,"R",80,"R",0,"R",95,"R",0,"R",0,"R",76,"R",80
111887,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",1598,"R",0,"R",1598,"R",101,"R",6,"R",353,"R",22,"R",0,"R",1598,"R",195,"R",375,"R",548,"R",34
111896,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",239,"R",0,"R",239,"R",7,"R",3,"R",21,"R",9,"R",0,"R",239,"R",14,"R",28,"R",35,"R",15
111920,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",977,"R",0,"R",977,"R",62,"R",6,"R",192,"R",20,"R",0,"R",977,"R",91,"R",187,"R",283,"R",29
111939,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",1682,"R",0,"R",1682,"R",68,"R",4,"R",325,"R",19,"R",0,"R",1682,"R",157,"R",327,"R",482,"R",29
111948,"R",850,"R",0,"R",850,"R",454,"R",53,"R",611,"R",72,"R",1,"R",849,"R",14,"R",1,"R",625,"R",74,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
111966,"R",2,"R",0,"R",2,"Z",0,"R",0,"Z",0,"R",0,"R",0,"R",2,"R",0,"R",0,"R",0,"R",0,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
112075,"R",277,"R",2,"R",275,"R",120,"R",44,"R",139,"R",51,"R",0,"R",275,"R",3,"R",1,"R",142,"R",52,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
